dist_band,tod_bucket,legs,avg_time_saved_ftl_min,median_breakeven_sla,avg_src_betweenness,recommend
short <50km,Afternoon,1130,17.427269529318725,37.55495526147701,0.028614668104382495,Carting
short <50km,Evening,2017,8.156107988797686,66.54398071805655,0.03136286952094474,Carting
short <50km,Morning,2706,34.39182294835234,29.142975546246056,0.010758026365746479,Carting
short <50km,Night,8977,10.048799206729663,54.157313578428884,0.009246398426517087,Carting
mid 50-200,Afternoon,1005,20.486763403567174,30.530692623369085,0.04137269019285719,Carting
mid 50-200,Evening,1536,10.70160614135959,50.85604542149975,0.04044504160904384,Carting
mid 50-200,Morning,1773,20.351906638634844,29.82198779765502,0.015932685052519116,Carting
mid 50-200,Night,4523,9.643207317019526,55.28004754442106,0.01355205970259144,Carting
long 200-800,Afternoon,284,77.13850269382853,5.719124985572655,0.045018873082009865,FTL
long 200-800,Evening,375,68.8445477770171,6.175378810885216,0.05852233931539277,FTL
long 200-800,Morning,525,67.66842519573707,6.585089326753009,0.03846899016754206,FTL
long 200-800,Night,681,60.00847257882398,6.876529781164596,0.04645684758706878,FTL
ultra >800,Afternoon,108,39.5835037104919,11.908345812826626,0.10869906537981734,Carting
ultra >800,Evening,175,37.13886018147995,12.290077969846106,0.12333942051107846,Carting
ultra >800,Morning,130,38.80212310947156,11.760006206951306,0.10839907171401547,Carting
ultra >800,Night,424,39.66181204380457,11.695470462836791,0.13928332499751667,Carting
